energy-1-0,homogeneity-1-0,ASM-1-0,energy-1-45,homogeneity-1-45,ASM-1-45,energy-1-90,homogeneity-1-90,ASM-1-90,energy-1-135,homogeneity-1-135,ASM-1-135,Class
0.10418118,0.66238029,0.01085372,0.09450413,0.59655191,0.00893103,0.10708433,0.66122112,0.01146705,0.09440577,0.59676246,0.00891245,1
0.09231429,0.66835513,0.00852193,0.08369617,0.60221115,0.00700505,0.09465105,0.6682683,0.00895882,0.08352424,0.60133796,0.0069763,1
0.09224698,0.66161095,0.0085095,0.0845554,0.60455614,0.00714962,0.09618704,0.67761296,0.00925195,0.08408434,0.60331057,0.00707018,1
0.08942242,0.6559641,0.00799637,0.08211048,0.59872672,0.00674213,0.0947057,0.67814816,0.00896917,0.08204817,0.59623819,0.0067319,1
0.09624992,0.68193452,0.00926405,0.08779071,0.62003386,0.00770721,0.09965347,0.69410989,0.00993081,0.08744158,0.62105123,0.00764603,1
0.09452317,0.66945066,0.00893463,0.08647016,0.60827666,0.00747709,0.09945285,0.68593588,0.00989087,0.08638724,0.60428875,0.00746276,1
0.09942764,0.69139473,0.00988585,0.08993989,0.61926583,0.00808918,0.10154408,0.68778138,0.0103112,0.08997146,0.6231405,0.00809486,1
0.09694413,0.67778178,0.00939816,0.08823811,0.61510354,0.00778596,0.10062687,0.6882281,0.01012577,0.0880942,0.61144697,0.00776059,1
0.09805854,0.70917227,0.00961548,0.08850217,0.63753259,0.00783263,0.09954706,0.70407834,0.00990962,0.08852606,0.64056029,0.00783686,1
0.0919613,0.65465159,0.00845688,0.08378326,0.59244424,0.00701963,0.09557616,0.66536802,0.0091348,0.08378264,0.58941659,0.00701953,1
0.0908295,0.66110833,0.00825,0.08291412,0.59686955,0.00687475,0.09486128,0.67378781,0.00899866,0.08282208,0.59852251,0.0068595,1
0.09396252,0.6601707,0.00882895,0.08612969,0.60392541,0.00741832,0.09894688,0.67987373,0.00979049,0.08620392,0.60451752,0.00743112,1
0.0929356,0.66947688,0.00863703,0.08397447,0.60258041,0.00705171,0.09419351,0.66795096,0.00887242,0.08361365,0.6045793,0.00699124,1
0.09592691,0.66923499,0.00920197,0.08785614,0.61184488,0.0077187,0.1002472,0.68403068,0.0100495,0.08754919,0.61218099,0.00766486,1
0.08543154,0.65560142,0.00729855,0.07758178,0.59683693,0.00601893,0.08752792,0.6639421,0.00766114,0.07720464,0.59370579,0.00596056,1
0.08986982,0.65309016,0.00807658,0.0812796,0.59125861,0.00660637,0.09094521,0.64959121,0.00827103,0.08085948,0.59277874,0.00653825,1
0.10932688,0.6890361,0.01195237,0.09938234,0.62773646,0.00987685,0.11184059,0.69357365,0.01250832,0.09885028,0.62915849,0.00977138,1
0.11303703,0.69857642,0.01277737,0.10260459,0.63269306,0.0105277,0.11575182,0.69612605,0.01339848,0.1023944,0.63457089,0.01048461,1
0.12426543,0.76201631,0.0154419,0.11151671,0.6919599,0.01243598,0.12238937,0.74049603,0.01497916,0.11056076,0.68304242,0.01222368,1
0.10630598,0.68920176,0.01130096,0.09615095,0.62537583,0.009245,0.10726379,0.68718327,0.01150552,0.09563185,0.62843425,0.00914545,1
0.09819898,0.65733681,0.00964304,0.08917402,0.60078378,0.00795201,0.10090089,0.6688996,0.01018099,0.08904031,0.60090899,0.00792818,1
0.08650739,0.64766278,0.00748353,0.07839959,0.57755934,0.0061465,0.08909772,0.64661723,0.0079384,0.07887877,0.58362423,0.00622186,1
0.10497491,0.65583061,0.01101973,0.0953534,0.5981794,0.00909227,0.10747106,0.66230384,0.01155003,0.09489543,0.59555796,0.00900514,1
0.0921549,0.665809,0.00849253,0.08327939,0.59543114,0.00693546,0.0936426,0.65949694,0.00876894,0.08336467,0.59936648,0.00694967,1
0.08564184,0.64869219,0.00733453,0.07752391,0.57457107,0.00600996,0.088096,0.64674421,0.00776091,0.07794955,0.58120687,0.00607613,1
0.09095384,0.65888167,0.0082726,0.08261181,0.58775843,0.00682471,0.0936846,0.66004895,0.0087768,0.08295144,0.59406906,0.00688094,1
0.08872516,0.66414405,0.00787215,0.07995906,0.59251295,0.00639345,0.090242,0.6569826,0.00814362,0.0802637,0.59603005,0.00644226,1
0.09192758,0.65356989,0.00845068,0.08332806,0.5882466,0.00694357,0.09435852,0.65556685,0.00890353,0.08354445,0.59174515,0.00697968,1
0.08985019,0.63188783,0.00807306,0.081549,0.56670039,0.00665024,0.09210621,0.63214416,0.00848355,0.08172796,0.57563598,0.00667946,1
0.08677429,0.64667142,0.00752978,0.07849767,0.58589909,0.00616188,0.08938962,0.65803379,0.0079905,0.07910539,0.58982154,0.00625766,1
0.09301877,0.68231362,0.00865249,0.08431296,0.61847941,0.00710868,0.09463464,0.68333856,0.00895571,0.08420829,0.62434852,0.00709104,1
0.08465362,0.64634887,0.00716623,0.07686797,0.58940519,0.00590868,0.08747716,0.65871183,0.00765225,0.07728126,0.59356124,0.00597239,1
0.08658961,0.65493705,0.00749776,0.07869222,0.5945741,0.00619246,0.08910162,0.66119377,0.0079391,0.07858344,0.59745473,0.00617536,1
0.10613879,0.67347568,0.01126544,0.09645985,0.61454939,0.0093045,0.1082652,0.67868791,0.01172135,0.09585085,0.61392507,0.00918739,1
0.09280478,0.66925458,0.00861273,0.08373755,0.60626753,0.00701198,0.09471986,0.67229355,0.00897185,0.08417379,0.60786654,0.00708523,1
0.09382917,0.66504172,0.00880391,0.08501499,0.60463467,0.00722755,0.0954451,0.66394004,0.00910977,0.08493628,0.60393863,0.00721417,1
0.08570241,0.6373459,0.0073449,0.07824632,0.58150751,0.00612249,0.08982237,0.65712349,0.00806806,0.07871887,0.58483488,0.00619666,1
0.09270996,0.66013807,0.00859514,0.08417697,0.60199025,0.00708576,0.09458791,0.66571484,0.00894687,0.08385062,0.60185926,0.00703093,1
0.09055666,0.65842696,0.00820051,0.08203564,0.59633969,0.00672985,0.09289314,0.66123125,0.00862914,0.08214121,0.59528574,0.00674718,1
0.0888561,0.64742575,0.00789541,0.08083244,0.58502198,0.00653388,0.09162898,0.65250254,0.00839587,0.08068423,0.58606109,0.00650994,1
0.08374182,0.62525791,0.00701269,0.07658716,0.57320243,0.00586559,0.08794039,0.64574681,0.00773351,0.07682084,0.5740558,0.00590144,1
0.08522233,0.62866562,0.00726285,0.07808505,0.57366783,0.00609727,0.0891138,0.64636824,0.00794127,0.07782272,0.57633658,0.00605638,1
0.08416082,0.62717763,0.00708304,0.07688247,0.57267079,0.00591091,0.08823228,0.64632868,0.00778494,0.07710617,0.57434457,0.00594536,1
0.08859795,0.63226281,0.0078496,0.08114206,0.5778881,0.00658403,0.09232168,0.6477275,0.00852329,0.08075192,0.57796747,0.00652087,1
0.10144238,0.65589843,0.01029056,0.09208017,0.59830297,0.00847876,0.1036266,0.66074408,0.01073847,0.09170608,0.59588845,0.00841001,1
0.0877576,0.63852942,0.0077014,0.08015533,0.58473522,0.00642488,0.09175323,0.65796205,0.00841866,0.08036019,0.58491983,0.00645776,1
0.08700822,0.65279413,0.00757043,0.07929076,0.59397319,0.00628702,0.08993842,0.66608879,0.00808892,0.07912106,0.59485657,0.00626014,1
0.09644658,0.68486238,0.00930194,0.08817569,0.62499138,0.00777495,0.09996926,0.70193971,0.00999385,0.08786404,0.62647886,0.00772009,1
0.10097377,0.67612739,0.0101957,0.09143393,0.61368469,0.00836016,0.10259567,0.67674338,0.01052587,0.09120781,0.61447627,0.00831886,1
0.10357321,0.66924497,0.01072741,0.0939214,0.60987997,0.00882123,0.10577582,0.67266096,0.01118852,0.0939272,0.61112241,0.00882232,1
0.11256064,0.69409012,0.0126699,0.10194707,0.63636724,0.01039321,0.11383514,0.69475407,0.01295844,0.10141323,0.63617593,0.01028464,1
0.10281922,0.69395971,0.01057179,0.0935988,0.63711585,0.00876074,0.10563556,0.70211277,0.01115887,0.09317978,0.63349821,0.00868247,1
0.10530819,0.697311,0.01108982,0.09517063,0.63172037,0.00905745,0.10647933,0.69524473,0.01133785,0.09482055,0.63204286,0.00899094,1
0.10426868,0.69247085,0.01087196,0.09396257,0.62613767,0.00882896,0.10475404,0.68424332,0.01097341,0.09364143,0.62406903,0.00876872,1
0.107283,0.68675226,0.01150964,0.09684905,0.61977638,0.00937974,0.10821526,0.67906981,0.01171054,0.09660374,0.61958619,0.00933228,1
0.10201142,0.66111572,0.01040633,0.09212925,0.59858565,0.0084878,0.10350482,0.6607475,0.01071325,0.09216527,0.60327725,0.00849444,1
0.10379816,0.65793106,0.01077406,0.09426868,0.59567098,0.00888658,0.1067172,0.65816452,0.01138856,0.09416653,0.59635071,0.00886734,1
0.10104568,0.67808077,0.01021023,0.0920763,0.62132093,0.00847804,0.10388889,0.68744895,0.0107929,0.09181041,0.62521674,0.00842915,1
0.10169239,0.68245892,0.01034134,0.09213911,0.62232826,0.00848962,0.10304932,0.68209006,0.01061916,0.0918232,0.62109883,0.0084315,1
0.10210236,0.67967272,0.01042489,0.09295621,0.6193068,0.00864086,0.10492089,0.68160158,0.01100839,0.0925589,0.62150823,0.00856715,1
0.10472208,0.68247742,0.01096671,0.09490126,0.62023655,0.00900625,0.10678873,0.68047008,0.01140383,0.09491895,0.62244833,0.00900961,1
0.09102692,0.64984457,0.0082859,0.08244067,0.58743226,0.00679646,0.093257,0.65073467,0.00869687,0.0824524,0.58798792,0.0067984,1
0.094309,0.67464248,0.00889419,0.08537844,0.61044695,0.00728948,0.09585209,0.67183461,0.00918762,0.08512553,0.61279415,0.00724636,1
0.0943418,0.67093065,0.00890038,0.0852074,0.60369906,0.0072603,0.09611317,0.66555668,0.00923774,0.08522463,0.60609057,0.00726324,1
0.10345658,0.70625451,0.01070326,0.09276276,0.6357057,0.00860493,0.10320881,0.69287539,0.01065206,0.09280449,0.63949425,0.00861267,1
0.09942804,0.70642147,0.00988593,0.08960403,0.64507715,0.00802888,0.09959022,0.70461376,0.00991821,0.08924305,0.64284869,0.00796432,1
0.09796121,0.73671663,0.0095964,0.08658029,0.65540108,0.00749615,0.09424708,0.71029562,0.00888251,0.0865114,0.6600377,0.00748422,1
0.09362431,0.69400434,0.00876551,0.08378308,0.62446903,0.0070196,0.09293595,0.67822759,0.00863709,0.08375054,0.62558803,0.00701415,1
0.09529069,0.68805267,0.00908032,0.0861299,0.62497647,0.00741836,0.09596587,0.68041936,0.00920945,0.08554446,0.62644161,0.00731786,1
0.09818285,0.75006828,0.00963987,0.08774959,0.68014668,0.00769999,0.09669647,0.73196056,0.00935021,0.0877738,0.68006455,0.00770424,1
0.0901544,0.66851609,0.00812782,0.081765,0.60949454,0.00668551,0.09156613,0.67070992,0.00838436,0.08137145,0.615027,0.00662131,1
0.0906169,0.66387222,0.00821142,0.08234742,0.60668328,0.0067811,0.09325805,0.67315113,0.00869706,0.08233681,0.60675876,0.00677935,1
0.09470566,0.68034331,0.00896916,0.08612737,0.62426274,0.00741792,0.09686089,0.68922153,0.00938203,0.08571849,0.62258258,0.00734766,1
0.0910014,0.66687862,0.00828125,0.08242135,0.60813481,0.00679328,0.09317418,0.67263882,0.00868143,0.08271266,0.60841552,0.00684138,1
0.09249703,0.67989407,0.0085557,0.0837654,0.6187424,0.00701664,0.09373907,0.68112657,0.00878701,0.08338282,0.61990804,0.00695269,1
0.09613764,0.70281798,0.00924244,0.08648688,0.63197231,0.00747998,0.09654912,0.69204488,0.00932173,0.086116,0.62726647,0.00741597,1
0.11006402,0.7747721,0.01211409,0.09775313,0.69149334,0.00955567,0.10673641,0.74205733,0.01139266,0.09754806,0.696453,0.00951562,1
0.09252023,0.71609852,0.00855999,0.08216841,0.63620981,0.00675165,0.09007914,0.68941215,0.00811425,0.08215788,0.63806711,0.00674992,1
0.09557422,0.69655608,0.00913443,0.08569262,0.62513135,0.00734323,0.0955919,0.68583099,0.00913781,0.08553648,0.62215584,0.00731649,1
0.09701424,0.7023919,0.00941176,0.08735103,0.630666,0.0076302,0.09781305,0.69421345,0.00956739,0.08725003,0.63421581,0.00761257,1
0.09195281,0.67483831,0.00845532,0.0839651,0.61677886,0.00705014,0.09502084,0.68141014,0.00902896,0.083257,0.61104012,0.00693173,1
0.09503105,0.6981174,0.0090309,0.0858815,0.62811762,0.00737563,0.09645252,0.69383711,0.00930309,0.08565234,0.63051123,0.00733632,1
0.09309211,0.66819019,0.00866614,0.0844171,0.6080043,0.00712625,0.09496165,0.67069694,0.00901772,0.08423412,0.60564417,0.00709539,1
0.09598314,0.69290377,0.00921276,0.08743231,0.63309711,0.00764441,0.0988573,0.70324974,0.00977277,0.08716092,0.63530784,0.00759703,1
0.09092878,0.66504216,0.00826804,0.08318696,0.61217227,0.00692007,0.09547617,0.68992068,0.0091157,0.08343712,0.61298034,0.00696175,1
0.09439393,0.68005477,0.00891021,0.08568026,0.61945558,0.00734111,0.09650023,0.68838424,0.00931229,0.08561802,0.62266322,0.00733045,1
0.09868439,0.73013574,0.00973861,0.088872,0.66632903,0.00789823,0.09941384,0.7284525,0.00988311,0.08911326,0.6679162,0.00794117,1
0.09381667,0.67376572,0.00880157,0.08534252,0.61606971,0.00728335,0.09634428,0.68338846,0.00928222,0.08507489,0.61735909,0.00723774,1
0.09328247,0.69867372,0.00870162,0.08278075,0.62195743,0.00685265,0.09101504,0.67516917,0.00828374,0.08265015,0.62370942,0.00683105,1
0.09405024,0.66963269,0.00884545,0.08545606,0.61175496,0.00730274,0.09661081,0.67901461,0.00933365,0.08518873,0.60903214,0.00725712,1
0.09388742,0.65456448,0.00881485,0.0857065,0.59783991,0.0073456,0.09721101,0.66856872,0.00944998,0.0853338,0.59644617,0.00728186,1
0.09394832,0.6579937,0.00882629,0.08593552,0.59952643,0.00738491,0.09816154,0.67165828,0.00963569,0.08559208,0.59631647,0.007326,1
0.09428047,0.67449111,0.00888881,0.08556551,0.61081304,0.00732146,0.09624472,0.67739101,0.00926305,0.08524659,0.61295625,0.00726698,1
0.09269553,0.65590921,0.00859246,0.08443845,0.59415833,0.00712985,0.09635,0.66701049,0.00928332,0.08434422,0.59257583,0.00711395,1
0.09514453,0.66720655,0.00905248,0.08677453,0.60489077,0.00752982,0.09865477,0.67782396,0.00973276,0.08642599,0.60790122,0.00746945,1
0.0932661,0.64712847,0.00869856,0.08536229,0.59102116,0.00728672,0.09770764,0.66604809,0.00954678,0.08511921,0.59045945,0.00724528,1
0.09534825,0.65542948,0.00909129,0.08693186,0.59791847,0.00755715,0.09806635,0.66366474,0.00961701,0.08636003,0.59517916,0.00745805,1
0.09262704,0.64559819,0.00857977,0.08448777,0.58880674,0.00713818,0.09627841,0.65968133,0.00926953,0.08441913,0.58759969,0.00712659,1
0.09386714,0.67046819,0.00881104,0.08588792,0.60882786,0.00737674,0.09812773,0.68470154,0.00962905,0.08561546,0.60501695,0.00733001,1
0.09246541,0.71849842,0.00854985,0.08185794,0.63914926,0.00670072,0.08927703,0.68720788,0.00797039,0.08159184,0.63722833,0.00665723,1
